City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
306,Bima,ID,-8.4667,118.7167,85.23,59,20,1.59,few clouds
307,Tommot,RU,58.9564,126.2925,68.65,85,100,3.85,light rain
308,Arlit,NE,18.7369,7.3853,93.29,31,10,17.13,clear sky
309,Lorengau,PG,-2.0226,147.2712,85.41,68,99,11.79,overcast clouds
310,Yeppoon,AU,-23.1333,150.7333,62.38,74,100,8.05,overcast clouds
311,Acamixtla,MX,18.5667,-99.5833,62.26,88,100,4.0,overcast clouds
312,Kavieng,PG,-2.5744,150.7967,85.17,69,84,14.36,broken clouds
313,Dingle,PH,10.9995,122.6711,82.58,75,100,1.14,overcast clouds
314,Praia,CV,14.9215,-23.5087,77.54,73,75,11.5,broken clouds
315,Lesnoy,RU,57.6198,63.0784,55.76,95,98,6.67,overcast clouds
316,Krasnyy Chikoy,RU,50.3643,108.7512,72.07,58,2,0.72,clear sky
317,Codrington,AU,-38.2667,141.9667,51.76,83,89,17.96,overcast clouds
318,Chimbarongo,CL,-34.7,-71.05,52.68,86,1,1.88,clear sky
319,Pacific Grove,US,36.6177,-121.9166,77.54,79,0,11.5,clear sky
320,Jinxiang,CN,27.4327,120.6062,87.03,70,96,1.03,overcast clouds
321,Honningsvag,NO,70.9821,25.9704,56.95,82,100,4.61,overcast clouds
322,Biabou,VC,13.2,-61.1333,81.91,79,100,17.29,overcast clouds
323,Naples Park,US,26.2617,-81.8093,89.65,54,20,3.44,few clouds
324,Skjervoy,NO,70.0311,20.9714,55.4,71,79,3.15,broken clouds
325,Komsomolskiy,UZ,40.4272,71.7189,75.92,38,36,2.3,scattered clouds
326,Shache,CN,38.4167,77.2406,75.36,31,100,14.99,overcast clouds
327,Victoria Point,AU,-27.5833,153.3,64.15,91,100,1.99,overcast clouds
328,Shingu,JP,33.7333,135.9833,88.84,64,80,7.83,broken clouds
329,Lazarev,RU,52.225,141.5131,59.77,85,57,23.58,broken clouds
330,Baherden,TM,38.4362,57.4316,86.5,34,72,5.7,broken clouds
331,Strai,NO,58.2,7.9,57.79,93,1,3.44,clear sky
332,Tocopilla,CL,-22.092,-70.1979,61.2,75,31,7.07,scattered clouds
333,Strezhevoy,RU,60.7333,77.5889,52.3,71,0,10.09,clear sky
334,Ginda,IN,30.6945,78.4932,64.85,87,29,2.86,scattered clouds
335,Narsaq,GL,60.9167,-46.05,47.19,86,99,2.86,overcast clouds
336,Tyup,KG,42.7276,78.3648,59.38,69,100,3.51,overcast clouds
337,Fereydunshahr,IR,32.941,50.121,61.39,63,11,4.59,few clouds
338,Katobu,ID,-4.9408,122.5276,79.57,83,95,7.96,overcast clouds
339,Aanekoski,FI,62.6946,25.818,51.85,100,8,3.76,clear sky
340,Sistranda,NO,63.7256,8.834,51.76,79,100,6.98,moderate rain
341,Cockburn Town,TC,21.4612,-71.1419,82.02,85,0,19.86,clear sky
342,Constitucion,CL,-35.3333,-72.4167,48.88,90,100,3.98,overcast clouds
343,Dong Xoai,VN,11.5333,106.9167,77.23,93,100,0.22,overcast clouds
344,Pangnirtung,CA,66.1451,-65.7125,48.27,82,100,1.39,overcast clouds
345,Tahoua,NE,14.8888,5.2692,77.43,66,70,11.7,broken clouds
